Geneid	Sambamba sort on dataset 9
NM_001291928.1	0
NM_001008533.3	0
NM_001282945.1	0
NM_001039510.2	0
NM_001291930.1	0
XM_006529079.3	0
XM_017312325.1	0
XM_030242990.1	0
XM_017312320.2	0
NM_027671.5	0
NM_001290390.1	0
NM_001290393.1	0
NM_001290392.1	0
XM_011238407.3	0
XM_006495572.3	0
XM_017312321.2	0
XM_006495573.4	0
NM_175642.4	0
XM_006495818.4	0
XM_017319555.2	0
XM_006495817.4	0
NM_008922.2	0
XR_373246.4	0
XR_373247.4	0
XM_030252295.1	0
XM_011238421.3	0
XM_011238420.3	0
NM_001289704.3	0
NM_001293804.2	0
XM_011238422.1	1
XM_011238423.3	0
XM_017313559.1	1
XM_006495635.4	0
XM_030244988.1	2
NM_009805.4	0
NM_001355056.1	0
NM_207653.6	0
NR_149255.1	0
NM_178884.5	0
XM_006496583.4	0
XM_017313059.2	0
XM_017313058.2	0
XR_373548.3	0
XR_003947539.1	0
NM_001310679.1	13
NM_027677.2	17
XM_006496611.3	0
XM_030242132.1	0
XM_017321684.1	0
NM_033652.5	0
XM_030254900.1	0
XM_030254896.1	0
XM_030254898.1	0
XM_006496900.4	0
XM_030254909.1	0
XM_006496897.4	0
NM_001357845.1	0
NM_001357847.1	0
NM_001195816.1	0
NM_001357844.1	0
NM_001357846.1	0
NM_176916.4	0
NR_040472.1	1
XM_006497255.2	0
XM_006497256.2	0
XM_030255030.1	0
XM_030255032.1	0
XM_011238938.2	0
XM_030255031.1	0
NM_001301370.1	0
NM_181546.3	0
XM_006497257.1	0
XM_030255033.1	0
XR_003956138.1	0
XM_017313202.1	0
XM_017313203.1	0
XM_011238412.1	0
XM_030252325.1	0
NM_001370921.1	0
XR_865172.2	2
XR_373204.2	0
XR_373205.2	0
XM_011238392.3	0
NM_177834.4	0
NM_001289497.1	0
XM_006495545.4	0
XM_030254977.1	0
XM_006495544.2	0
XM_030254976.1	0
XM_006495540.3	0
NM_001160371.2	0
NM_001160370.2	0
NM_001374634.1	0
NM_001310451.1	0
NM_177173.6	0
NM_001374633.1	0
NM_001160369.2	0
XM_006495490.4	0
NM_145381.2	3
XR_003946579.1	0
NM_027974.1	0
XR_373242.4	0
XR_001783141.2	0
XR_001783140.2	0
NM_133235.3	0
XM_011238486.3	2
XM_011238485.3	0
NM_146107.2	0
XM_011238484.2	5
NM_001029878.2	3
NR_040465.1	0
NM_053107.4	0
XM_006496347.3	0
XM_017312993.2	0
XM_006496346.3	0
XM_006496127.3	0
XM_006496128.3	0
XM_011238490.3	0
XM_011238488.3	0
XM_006495930.4	0
XM_006495929.4	0
XM_006495931.4	0
XR_003954985.1	0
XM_006495928.4	0
XM_011238495.3	0
XM_011238494.3	0
XR_003954980.1	0
XM_006495925.4	0
XM_006495915.4	0
XR_373250.4	0
XM_030253644.1	0
XM_011238491.3	0
XM_006495914.4	0
XM_006495913.4	0
XM_006495916.4	0
XM_030253647.1	0
XM_030253646.1	0
XM_011238487.3	0
NM_001368717.1	0
XM_006495920.2	0
XM_006495921.1	0
XM_011238492.3	0
XM_006495923.1	0
NR_151585.1	0
XM_006496179.4	0
NM_001252070.1	0
NM_001163314.2	249
XR_003947821.1	1
NM_001114663.1	70
NM_007561.4	0
XM_006495633.2	0
XM_011238602.3	4
XM_006496298.3	0
NM_001081050.2	0
XM_006496299.4	0
XR_865480.1	0
XR_373451.2	0
XM_006495693.4	0
XM_006495692.4	0
NM_010154.2	0
XM_006495694.4	0
XM_006495695.4	1
NM_029160.3	0
NM_025728.4	0
NM_175210.3	4
XM_006495893.4	0
XM_006495892.2	0
NM_009533.2	0
NM_001357520.1	0
NM_001357519.1	0
NR_003202.2	85
NR_040605.1	4
NM_001310662.1	0
XM_006496054.3	0
XM_006496057.4	0
XM_030254923.1	0
NM_176972.4	0
XR_373256.4	0
XR_003947884.1	0
XR_865558.1	0
NM_175291.4	0
XM_006496471.4	0
XM_006496464.4	0
XM_017319532.2	0
XM_006496463.4	0
XM_006496469.4	0
XM_006496470.4	0
XM_006496465.4	0
XM_017319527.2	0
XM_006496467.4	0
XM_006496475.4	0
XM_006496468.4	0
XM_030252604.1	0
XM_006496466.4	0
XM_030252594.1	0
XM_030252603.1	0
XR_003954321.1	0
XR_373539.4	0
XR_001783679.2	0
XR_003954322.1	0
XR_003954325.1	0
XM_006496551.4	0
NM_027921.1	0
XM_011247986.3	0
XM_017320337.2	0
XM_030253706.1	0
XM_030253705.1	0
XM_030253716.1	0
XM_006529300.4	0
XM_017319469.2	0
XM_030252485.1	0
XM_006529298.3	0
XM_030252497.1	0
XM_006529301.4	0
XM_030252488.1	0
XM_030252483.1	1
NM_153530.2	0
NM_001172157.1	0
NM_201641.2	0
NM_201644.2	0
XM_030243890.1	1
NM_133816.3	0
XM_030243887.1	5
NM_080850.2	0
XM_006529665.4	0
XM_006529667.2	1
XM_017321037.1	0
XM_006529666.3	3
XR_001784731.2	0
XM_030253941.1	0
NM_011800.5	0
XR_878430.1	0
NM_027971.3	0
NM_001199213.2	0
XM_017320693.2	0
XM_006529608.3	0
XM_017320706.1	0
XM_006529609.3	0
XM_011248006.2	0
XM_006529601.3	0
XM_017320701.1	0
XM_017320699.1	0
XM_017320698.1	0
XM_006529600.3	0
XM_006529611.4	0
XM_006529610.4	0
XM_017320703.2	0
NM_001316743.1	0
NM_001316744.1	0
NM_172853.3	0
XM_011248008.3	0
XR_387298.1	0
NM_001077425.2	0
NM_001371013.1	0
XM_006529775.4	0
XM_006529774.3	0
NM_001359347.1	0
NM_001293301.1	0
NM_029709.2	0
NM_001359342.1	0
NM_001359340.1	0
NM_001359346.1	0
NM_001359338.1	0
NM_001359343.1	0
NM_001359341.1	0
NM_001359339.1	0
NM_001359330.1	0
NM_001359334.1	0
NM_001359329.1	0
NM_001359345.1	0
NM_001359336.1	0
NM_001359337.1	0
NM_001293300.1	0
NM_001359335.1	0
NM_001359331.1	0
NM_001359328.1	0
XM_030243479.1	0
XM_030243461.1	0
XM_030243482.1	0
XM_011248107.1	0
XM_030243421.1	0
XM_030243445.1	0
XM_030243427.1	0
XM_030243423.1	0
XM_030243414.1	0
XM_011248108.1	0
XM_030243485.1	0
XM_030243419.1	0
XM_006529948.1	0
XM_030243468.1	0
XM_030243449.1	0
XM_030243436.1	0
XM_030243428.1	0
XM_030243424.1	0
XM_030243458.1	0
XM_030243415.1	0
XM_006529939.1	0
XM_006529924.1	0
XM_006529938.1	0
XM_006529922.1	0
XM_030243432.1	0
XM_030243442.1	0
XM_030243412.1	0
XM_006529937.1	0
XM_006529929.1	0
XM_006529920.1	0
XM_017320879.2	0
XM_006529627.4	0
NM_199021.3	0
XM_006529626.4	0
XR_387349.3	0
XM_006529405.3	0
XR_001784075.2	0
NM_178690.4	0
XM_006529407.4	6
XM_011247964.2	0
NM_172485.3	0
XM_011247965.1	0
NM_008551.2	0
XM_030251925.1	0
NM_008795.2	3
XM_011247940.3	0
XR_001783189.2	0
XR_387152.4	0
XR_003953745.1	0
XM_006529554.4	0
XM_006529536.4	0
XM_006529553.4	0
XM_006529547.4	0
XM_017320501.2	0
XM_006529534.4	0
XR_003955330.1	0
XR_003955346.1	0
XR_003955344.1	0
XR_003955339.1	0
XR_003955343.1	0
XR_003955337.1	0
XR_003955329.1	0
XR_003955331.1	0
XR_003955340.1	0
XR_387170.4	0
XR_003955328.1	0
NM_145417.3	0
NM_001159624.1	0
XR_387158.3	0
XR_003954455.1	0
NM_001347109.1	0
NM_001347110.1	0
XM_006529834.3	0
XM_006529832.3	0
XM_017312957.2	0
NM_009791.4	0
XM_011247999.2	0
XR_001784494.1	0
XR_001784498.1	0
XR_001784491.1	0
XR_001784492.1	0
XM_017320510.1	0
XM_006529572.3	0
XM_011247997.2	0
XM_006529562.3	0
XM_017320508.1	0
XM_017320506.1	0
XM_011247998.3	0
XM_006529565.3	0
XM_017320509.1	0
XM_006529567.1	0
XM_030253999.1	0
XM_017320507.1	0
XM_006529566.4	0
XM_011247996.3	0
NM_001081027.3	0
XM_030254001.1	0
XM_017320512.1	0
NM_145991.2	907
XM_006529366.3	0
XM_006529365.2	0
NM_001357571.1	0
NM_153539.3	0
XM_030252958.1	0
XM_006529368.4	0
XM_006529367.4	0
NM_001357572.1	0
NM_001145807.1	0
NM_008869.4	28
NM_197990.3	378
XM_011248069.3	0
XM_030242805.1	0
XR_387163.4	0
XM_006529456.4	6
XM_006529455.4	0
NM_175460.3	0
XM_006529766.4	0
XM_017321868.2	42
NM_021433.3	0
NM_177644.5	0
XM_006496750.2	0
XM_006496751.2	0
XM_006496752.2	0
XM_011238810.1	0
XM_006496836.1	0
XM_006496837.1	0
NM_207583.2	0
XM_006496877.3	0
XM_006496876.2	0
XM_006496878.4	0
XM_006496875.1	2
NM_013862.5	0
XR_373658.2	0
NM_178593.3	0
NM_001038846.1	0
XM_006496782.4	0
XM_006496783.2	0
XM_011238794.1	0
XM_006496781.1	0
XM_006496784.1	0
XM_030243903.1	0
XM_030243904.1	0
XM_006497072.3	0
NM_001160215.1	0
NM_145141.2	0
XM_030243906.1	0
NR_027666.1	0
XR_003947562.1	0
XR_003947561.1	0
NM_001347195.1	0
NM_001199003.1	0
NM_011880.3	0
NM_001357129.1	0
XM_006496829.4	0
XM_006496828.4	0
XM_011238808.3	0
XM_006496830.4	0
XM_006496834.4	0
XM_011238809.3	0
XM_017320468.2	0
XM_006496831.4	0
XM_030253948.1	0
XM_030253949.1	0
XM_017320465.2	0
NM_011785.4	0
XM_006496819.4	0
XM_030253910.1	0
XM_030253917.1	0
XM_006496818.4	0
XM_011238805.3	3
NM_027188.4	54
XM_006496982.4	5
XM_011238864.2	0
XR_373746.3	6
XM_006496902.4	0
NM_001081175.1	0
XM_030254970.1	0
XM_030254969.1	0
XM_030243142.1	7
NM_001160212.1	0
NM_001160211.1	0
NM_028408.3	0
XM_006496989.4	0
NM_173378.2	3347
XM_030252968.1	0
XM_006497136.4	0
NM_001329107.1	0
NM_009367.4	0
XM_006497165.4	0
XM_011238916.3	0
XM_011238917.3	0
NM_001243792.1	0
XM_011238920.3	1
NM_001357534.1	0
XM_011238915.3	0
XM_011238918.3	0
XM_030254422.1	0
NM_001357535.1	0
XM_011238919.3	1
NM_021408.3	0
XM_017319869.1	0
XM_006497134.3	0
NM_008976.2	0
XM_006497131.4	0
XM_030252297.1	0
XM_006497129.4	1
XM_006497133.4	0
XM_011238921.1	0
NM_178775.4	0
XM_030254961.1	0
XM_030254962.1	0
XM_006497174.4	0
XM_006497173.4	0
XM_006497175.4	0
XM_006497172.4	0
NR_015566.2	24
XM_006495550.4	3
NM_001011874.1	0
XM_011238395.3	1
NM_001195662.1	0
XR_003947656.1	0
XR_003947660.1	0
XR_001778806.2	0
XR_001778812.2	0
NM_001290372.1	0
NM_021374.5	3
NM_001177795.1	0
XM_011238401.3	0
XM_030255244.1	0
XM_006495436.4	0
XM_030255207.1	0
XM_006495433.3	0
XM_030255279.1	0
XM_030255224.1	0
NM_001310442.1	0
NM_133826.5	0
XM_011238336.3	0
XM_006495439.3	0
XM_017321103.1	0
NM_001244693.1	0
NM_001244692.1	0
XM_030253958.1	0
XM_030253967.1	0
XM_030253959.1	0
XM_011238372.3	0
XM_011238371.3	0
XM_006495503.4	0
XM_030253964.1	0
XM_030253955.1	0
XM_030253968.1	0
XM_030253957.1	0
XM_030253966.1	0
NM_173868.2	0
NR_045189.1	0
NR_045188.1	0
XM_006495504.4	0
XM_030253960.1	0
XM_011238373.3	0
XM_006495502.4	0
XM_030253956.1	0
XM_006495501.4	0
XM_030253963.1	0
XM_030253961.1	0
XR_001778003.2	0
NM_001357378.1	0
NM_001357376.1	0
NM_175236.5	0
NM_001357377.1	0
XM_006495586.3	0
XM_030243365.1	0
NR_015470.1	11
XM_006495461.1	0
NM_008651.3	0
NM_001290397.1	0
XM_011238349.2	0
NM_177547.3	0
NM_133220.2	0
NM_001285425.2	5
XM_006495431.4	0
XM_006495488.4	0
XM_006495487.4	0
XM_030252689.1	0
XM_030252675.1	0
XM_030252691.1	0
XM_006495485.4	0
XM_006495481.4	0
XM_006495479.4	0
XR_001783697.2	0
NM_026493.3	0
XM_030252688.1	0
XM_006495483.4	0
XM_017319604.2	0
XM_006495486.3	0
XM_030252692.1	0
XM_006495484.4	0
XM_017319609.2	0
XM_006495482.4	0
NM_001368816.1	0
XM_030252696.1	0
NM_001102430.1	2572
XM_011238393.2	0
XM_006495441.4	0
NM_029525.1	0
NM_001033636.4	12
XM_006495543.4	0
XR_373208.2	0
XM_006495510.4	0
XM_006495513.4	0
XM_030253970.1	0
NM_001198566.1	0
NM_001198565.1	0
XM_006495512.4	0
NM_172294.1	0
XM_006495514.1	0
NM_172841.2	0
XM_030253984.1	0
XM_030253983.1	0
XM_006495518.4	0
XM_030253982.1	0
XM_011238380.3	0
XM_030253981.1	2
XM_011238381.3	0
XM_011238382.3	0
NM_001302702.1	0
NM_008678.3	0
XM_030252088.1	0
XM_030252095.1	0
XM_011238361.3	0
XM_030252077.1	1
XM_030252075.1	0
XM_030252066.1	0
XM_017319232.2	0
XM_030252070.1	0
XM_017319233.2	0
XM_017319235.2	0
XM_030252068.1	0
XM_017319234.2	0
XM_017319241.2	0
XM_017319243.2	0
XM_017319229.2	0
XM_030252082.1	0
XM_030252093.1	0
XM_030252072.1	0
XM_017319231.2	0
XM_030252087.1	0
XM_030252090.1	0
